date,total_bitcoins
9/1/2019,17909431.25
9/5/2019,17915918.75
9/8/2019,17922381.25
9/11/2019,17928852.6
9/14/2019,17935293.75
9/17/2019,17941768.75
9/21/2019,17948231.25
9/24/2019,17954718.75
9/28/2019,17961206.25
10/1/2019,17967668.75
10/5/2019,17974131.25
10/8/2019,17980618.75
10/11/2019,17987093.75
10/15/2019,17993568.75
10/19/2019,18000068.75
10/22/2019,18006543.75
10/25/2019,18013006.25
10/29/2019,18019443.75
11/2/2019,18025906.25
11/6/2019,18032393.75
11/10/2019,18038831.25
11/13/2019,18045281.25
11/17/2019,18051743.75
11/20/2019,18058206.25
11/24/2019,18064693.75
11/28/2019,18071156.25
12/1/2019,18077656.25
12/5/2019,18084106.25
12/8/2019,18090568.75
12/12/2019,18097006.25
12/16/2019,18103468.75
12/19/2019,18109943.75
12/22/2019,18116393.75
12/26/2019,18122879.17
12/29/2019,18129343.75
1/2/2020,18135806.25
1/5/2020,18142281.25
1/8/2020,18148743.75
1/12/2020,18155218.75
1/15/2020,18161668.75
1/18/2020,18168106.25
1/23/2020,18175931.25
1/26/2020,18182406.25
1/29/2020,18188856.25
2/2/2020,18195318.75
2/5/2020,18201768.75
2/9/2020,18208243.75
2/13/2020,18214718.75
2/17/2020,18221168.75
2/20/2020,18227656.25
2/24/2020,18234093.75
2/27/2020,18240556.25
3/2/2020,18246993.75
3/5/2020,18253468.75
3/8/2020,18259931.25
3/12/2020,18266393.75
3/16/2020,18272868.75
3/21/2020,18279331.25
3/25/2020,18285780.73
3/29/2020,18292256.25
4/1/2020,18298718.75
4/4/2020,18305181.25
4/8/2020,18311631.25
4/11/2020,18318068.75
4/14/2020,18324531.25
4/18/2020,18330981.25
4/21/2020,18337456.25
4/25/2020,18343906.25
4/28/2020,18350368.75
5/2/2020,18356906.25
5/5/2020,18363356.25
5/9/2020,18369856.25
5/12/2020,18375665.63
5/16/2020,18378890.63
5/21/2020,18382134.38
5/25/2020,18385353.13
5/29/2020,18388596.88
6/2/2020,18391828.13
6/5/2020,18395046.88
6/8/2020,18398293.49
6/11/2020,18401521.88
6/14/2020,18404753.13
6/18/2020,18407996.88
6/22/2020,18411232.55
6/25/2020,18414453.13
6/29/2020,18417684.38
7/2/2020,18420915.63
7/5/2020,18424140.63
7/9/2020,18427383.59
7/12/2020,18430615.63
7/15/2020,18433840.63
7/20/2020,18437071.88
7/23/2020,18440290.63
7/27/2020,18443521.88
7/30/2020,18446746.88
8/3/2020,18449965.63
8/6/2020,18453184.38
8/10/2020,18456409.38
8/13/2020,18459628.13
8/17/2020,18462865.63
8/20/2020,18466090.63
8/24/2020,18469321.88
8/28/2020,18472553.13
8/31/2020,18475782.81
9/4/2020,18479009.38
9/7/2020,18482253.13
9/10/2020,18485471.88
9/14/2020,18488703.13
9/17/2020,18491928.13
9/20/2020,18495146.88
9/24/2020,18498365.63
9/27/2020,18501628.13
10/1/2020,18504853.13
10/5/2020,18508078.13
10/8/2020,18511321.61
10/12/2020,18514553.13
10/15/2020,18517784.38
10/19/2020,18521017.71
10/23/2020,18524259.38
10/27/2020,18527490.63
10/31/2020,18530709.38
11/4/2020,18533934.38
11/8/2020,18537190.63
11/11/2020,18540428.13
11/15/2020,18543671.88
11/18/2020,18546890.63
11/21/2020,18550121.88
11/25/2020,18553346.88
11/28/2020,18556578.13
12/2/2020,18559812.76
12/5/2020,18563040.63
12/9/2020,18566271.88
12/13/2020,18569509.38
12/16/2020,18572740.63
12/20/2020,18575978.13
12/23/2020,18579209.38
12/27/2020,18582434.38
12/30/2020,18585671.88
1/3/2021,18588903.13
1/6/2021,18592140.63
1/9/2021,18595371.88
1/12/2021,18598603.13
1/16/2021,18601836.72
1/20/2021,18605072.92
1/23/2021,18608296.88
1/27/2021,18611534.38
1/30/2021,18614759.38
2/3/2021,18617990.63
2/6/2021,18621228.13
2/10/2021,18624463.28
2/13/2021,18627721.88
2/17/2021,18630946.88
2/20/2021,18634178.13
2/24/2021,18637409.38
2/28/2021,18640646.88
3/3/2021,18643878.13
3/7/2021,18647103.13
3/10/2021,18650321.88
3/14/2021,18653540.63
3/18/2021,18656765.63
3/21/2021,18659996.88
3/24/2021,18663234.38
3/28/2021,18666471.88
3/31/2021,18669703.13
4/4/2021,18672928.13
4/7/2021,18676146.88
4/11/2021,18679371.88
4/14/2021,18682603.13
4/19/2021,18685853.91
4/23/2021,18689084.38
4/27/2021,18692309.38
5/1/2021,18695540.63
5/4/2021,18698771.09
5/7/2021,18701996.88
5/10/2021,18705234.38
5/13/2021,18708453.13
5/16/2021,18711678.13
5/21/2021,18714909.38
5/25/2021,18718128.13
5/29/2021,18721346.88
6/2/2021,18724574.22
6/6/2021,18727803.13
6/9/2021,18731046.09
6/14/2021,18734285.42
6/18/2021,18737509.38
6/23/2021,18740728.13
6/28/2021,18743953.13
7/3/2021,18747171.88
7/7/2021,18750390.63
7/11/2021,18753615.63
7/15/2021,18756853.13
7/18/2021,18760071.88
7/22/2021,18763296.88
7/25/2021,18766528.13
7/29/2021,18769746.88
8/1/2021,18772978.13
8/4/2021,18776209.38
8/8/2021,18779428.13
8/11/2021,18782653.13
8/14/2021,18785871.88
8/17/2021,18789096.88
8/21/2021,18792321.88
8/24/2021,18795546.88
8/27/2021,18798778.13
8/31/2021,18802003.13
9/3/2021,18805221.88
9/6/2021,18808446.88
9/10/2021,18811678.13
9/13/2021,18814903.13
9/17/2021,18818134.38
9/20/2021,18821359.38
9/24/2021,18824578.13
9/27/2021,18827809.38
10/1/2021,18831028.13
10/4/2021,18834246.88
10/7/2021,18837465.63
10/11/2021,18840684.38
10/15/2021,18843915.63
10/18/2021,18847140.63
10/21/2021,18850359.38
10/25/2021,18853596.88
10/28/2021,18856815.63
10/31/2021,18860046.88
11/4/2021,18863265.63
11/7/2021,18866484.38
11/11/2021,18869709.38
11/14/2021,18872940.63
11/17/2021,18876178.13
11/21/2021,18879403.13
11/25/2021,18882634.38
11/29/2021,18885853.13
12/2/2021,18889071.88
12/5/2021,18892296.88
12/9/2021,18895515.63
12/12/2021,18898734.38
12/15/2021,18901953.13
12/19/2021,18905172.14
12/23/2021,18908406.25
12/26/2021,18911634.38
12/30/2021,18914853.13
1/2/2022,18918078.13
1/6/2022,18921296.88
1/9/2022,18924515.63
1/13/2022,18927734.38
1/16/2022,18930953.13
1/19/2022,18934179.69
1/23/2022,18937415.63
1/26/2022,18940646.88
1/30/2022,18943871.88
2/2/2022,18947090.63
2/6/2022,18950315.63
2/10/2022,18953546.88
2/13/2022,18956771.88
2/16/2022,18959991.41
2/20/2022,18963215.63
2/23/2022,18966446.88
2/27/2022,18969690.63
3/3/2022,18972909.38
3/6/2022,18976134.38
3/10/2022,18979353.13
3/14/2022,18982590.63
3/17/2022,18985815.63
3/20/2022,18989034.38
3/24/2022,18992253.13
3/27/2022,18995484.38
3/31/2022,18998703.13
4/4/2022,19001928.13
4/7/2022,19005161.98
4/11/2022,19008390.63
4/14/2022,19011609.38
4/18/2022,19014828.13
4/21/2022,19018059.38
4/25/2022,19021278.13
4/28/2022,19024509.38
5/1/2022,19027740.63
5/5/2022,19030959.38
5/8/2022,19034184.38
5/12/2022,19037403.13
5/15/2022,19040634.38
5/19/2022,19043905.21
5/23/2022,19047140.63
5/27/2022,19050359.38
5/30/2022,19053578.13
6/3/2022,19056796.88
6/6/2022,19060032.03
6/10/2022,19063253.13
6/13/2022,19066478.13
6/17/2022,19069703.13
6/21/2022,19072928.13
6/25/2022,19076159.38
6/28/2022,19079378.13
7/2/2022,19082603.13
7/5/2022,19085821.88
7/9/2022,19089053.13
7/13/2022,19092284.38
7/16/2022,19095503.13
7/20/2022,19098734.38
7/24/2022,19101959.38
7/27/2022,19105184.38
7/31/2022,19108409.38
8/4/2022,19111634.38
8/7/2022,19114859.38
8/11/2022,19118084.38
8/14/2022,19121303.13
8/18/2022,19124528.13
8/21/2022,19127746.88
8/24/2022,19130978.13
8/28/2022,19134196.88
8/31/2022,19137434.11
9/4/2022,19140653.13
9/7/2022,19143871.88
9/11/2022,19147090.63
9/14/2022,19150315.63
9/18/2022,19153545.05
9/21/2022,19156778.13
9/25/2022,19159996.88
9/28/2022,19163246.88
10/2/2022,19166478.13
10/5/2022,19169696.88
10/8/2022,19172915.63
10/11/2022,19176165.63
10/15/2022,19179384.38
10/18/2022,19182615.63
10/22/2022,19185846.88
10/25/2022,19189065.63
10/29/2022,19192284.38
11/1/2022,19195509.38
11/5/2022,19198734.38
11/8/2022,19201953.13
11/12/2022,19205178.13
11/16/2022,19208403.13
11/19/2022,19211628.13
11/23/2022,19214859.38
11/27/2022,19218084.38
12/1/2022,19221323.96
12/5/2022,19224546.88
12/8/2022,19227765.63
12/11/2022,19231003.13
12/15/2022,19234221.88
12/19/2022,19237459.38
12/22/2022,19240684.38
12/26/2022,19243913.02
12/30/2022,19247134.38
1/2/2023,19250353.13
1/6/2023,19253601.04
1/9/2023,19256834.38
1/12/2023,19260059.38
1/15/2023,19263278.13
1/19/2023,19266503.13
1/23/2023,19269728.13
1/26/2023,19272959.38
1/29/2023,19276178.13
2/2/2023,19279396.88
2/6/2023,19282621.88
2/9/2023,19285846.88
2/12/2023,19289065.63
2/16/2023,19292328.13
2/19/2023,19295559.11
2/22/2023,19298796.88
2/26/2023,19302028.13
3/1/2023,19305259.38
3/5/2023,19308484.38
3/8/2023,19311715.63
3/12/2023,19314934.38
3/15/2023,19318159.38
3/19/2023,19321378.13
3/22/2023,19324609.38
3/25/2023,19327853.13
3/29/2023,19331071.88
4/1/2023,19334296.88
4/5/2023,19337528.13
4/8/2023,19340771.88
4/12/2023,19343996.88
4/15/2023,19347228.13
4/19/2023,19350453.13
4/22/2023,19353671.88
4/26/2023,19356896.88
4/30/2023,19360121.88
5/3/2023,19363359.38
5/7/2023,19366578.13
5/11/2023,19369796.88
5/14/2023,19373015.63
5/17/2023,19376246.88
